73.08	85.56	50.78	74.39	1	55	90
20.82	56.32	1.01	98.65	3	43	82
3.21	76.01	83.14	51.79	1	42	101
53.76	62.99	11.18	23.81	2	56	116
88.15	17.17	72.30	8.96	2	31	70
70.73	60.11	90.20	53.87	1	30	80
46.19	66.27	24.49	13.56	2	50	95
3.23	40.68	58.24	94.23	2	35	89
47.29	37.07	84.50	7.54	2	39	90
4.43	41.40	90.59	37.61	1	32	64
70.90	47.46	6.14	82.28	2	53	95
66.96	95.78	60.51	86.65	2	40	72
74.57	57.32	54.19	90.87	1	32	80
25.06	6.21	94.37	71.37	2	52	99
13.91	70.60	59.74	43.37	1	52	99
80.32	44.00	47.68	1.35	2	58	118
54.38	23.51	58.13	50.38	1	55	91
61.08	40.81	21.39	46.75	2	53	86
96.18	87.01	78.81	9.92	1	38	89
37.91	15.80	0.65	58.21	2	45	88
6.17	1.80	99.57	9.69	3	57	101
42.27	23.37	57.10	53.22	1	58	111
19.42	77.45	74.34	49.74	2	42	100
41.30	33.26	81.07	77.10	2	47	88
31.62	70.51	17.99	57.88	2	37	74
76.94	35.27	53.16	55.65	2	44	97
61.77	53.39	89.22	10.03	1	40	90
68.91	28.86	59.74	19.04	2	38	83
6.48	91.86	2.54	26.83	2	54	108
26.70	6.64	92.35	65.25	1	35	80
56.09	77.30	68.47	7.40	2	31	84
57.39	46.60	96.46	90.60	1	47	93
12.17	1.54	45.51	16.18	2	57	88
70.18	33.91	60.60	63.68	2	57	117
95.32	81.71	73.50	90.46	2	59	103
14.24	16.40	46.14	73.82	1	40	95
99.39	86.48	95.76	72.40	2	43	88
18.55	26.31	38.32	63.59	1	43	79
41.47	43.91	76.06	7.80	1	49	87
76.81	81.42	76.01	72.13	2	48	94
55.63	91.11	27.70	11.40	1	56	105
25.39	56.58	7.91	99.96	1	55	105
78.63	59.86	58.83	17.35	2	33	76
73.87	76.42	31.99	67.11	3	52	86
90.28	66.00	74.31	86.82	1	57	98
49.00	54.97	4.84	99.46	1	34	84
30.33	32.53	13.49	89.26	2	56	97
42.52	73.36	38.85	49.85	2	46	90
74.39	30.17	25.60	23.18	2	54	91
66.27	96.63	11.60	22.63	3	42	92
49.78	32.47	70.78	67.39	3	50	108
31.17	91.01	35.71	24.26	2	49	91
