197	130	15	74.39	1	55	90
72	153	44	98.65	3	43	82
211	90	59	51.79	1	42	101
125	2	18	23.81	2	56	116
53	178	40	8.96	2	31	70
15	2	23	53.87	1	30	80
138	42	29	13.56	2	50	95
21	136	35	94.23	2	35	89
147	65	18	7.54	2	39	90
26	183	31	37.61	1	32	64
32	109	41	82.28	2	53	95
95	132	41	86.65	2	40	72
25	265	30	90.87	1	32	80
57	66	47	71.37	2	52	99
50	115	30	43.37	1	52	99
199	142	69	1.35	2	58	118
179	284	46	50.38	1	55	91
57	197	45	46.75	2	53	86
143	29	25	9.92	1	38	89
16	306	20	58.21	2	45	88
54	43	55	9.69	3	57	101
26	145	71	53.22	1	58	111
145	59	69	49.74	2	42	100
80	101	74	77.1	2	47	88
23	230	35	57.88	2	37	74
136	235	69	55.65	2	44	97
45	146	51	10.03	1	40	90
145	194	62	19.04	2	38	83
113	127	75	26.83	2	54	108
169	301	34	65.25	1	35	80
118	114	70	7.4	2	31	84
48	176	28	90.6	1	47	93
143	38	53	16.18	2	57	88
71	253	73	63.68	2	57	117
99	63	43	90.46	2	59	103
193	237	56	73.82	1	40	95
26	191	51	72.4	2	43	88
130	209	46	63.59	1	43	79
169	263	31	7.8	1	49	87
44	268	37	72.13	2	48	94
218	191	48	11.4	1	56	105
197	295	24	99.96	1	55	105
145	61	28	17.35	2	33	76
91	31	58	67.11	3	52	86
206	221	63	86.82	1	57	98
107	36	70	99.46	1	34	84
150	241	35	89.26	2	56	97
178	25	76	49.85	2	46	90
199	286	56	23.18	2	54	91
84	28	76	22.63	3	42	92
